id,category,topic,body,tags,priority
p001,運用,朝活習慣,"朝の30分を固定すると、1日の判断ミスが減りやすい。最初は5分でもOK。","朝活;習慣化;自己管理",5
p002,運用,ネタ切れ対策,"投稿ネタは『気づき』『失敗』『改善』の3分類でメモすると、枯渇しにくい。","発信設計;ネタ管理",5
p003,技術,GitHub Actions,"定期実行はcronのUTCを意識する。JST換算をコメントに残すと運用ミスが減る。","GitHubActions;自動化",4
p004,技術,静的サイト,"静的HTMLは壊れにくく、無料ホスティングとの相性が良い。まずはシンプル構成が正解。","GitHubPages;Web制作",3
p005,学び,継続のコツ,"完璧を目指すより『毎日1ミリ前進』の設計にすると継続率が上がる。","継続;学習",4
p006,運用,投稿時間帯,"自分のフォロワーが見ている時間を3つに絞って検証すると、改善サイクルが回しやすい。","SNS運用;検証",3
p007,技術,テンプレート運用,"テンプレートは固定しすぎず、導入と締めを回すだけでも重複感を抑えられる。","コンテンツ設計;テンプレ",5
p008,学び,読書メモ,"読んだ内容は『明日試すこと』を1つだけ書くと、知識が行動に変わりやすい。","読書術;アウトプット",2
p009,運用,手動投稿の価値,"最終投稿を手動にすると、文脈確認と誤字チェックの安全弁になる。","リスク管理;品質",5
p010,技術,CSV管理,"CSVは軽量で扱いやすい。列を増やすだけで運用ルールを少しずつ育てられる。","データ管理;運用改善",2
p011,学び,振り返り,"週1で『やったこと・学び・次にやること』を3行で記録すると迷いが減る。","振り返り;成長",3
p012,運用,ハッシュタグ,"タグは毎回増やすより、軸タグを固定して関連タグを1〜2個差し替えると伝わりやすい。","ハッシュタグ;ブランディング",4
